priority_rank,company_id,propensity_score,converted_30d_actual,signal_1,signal_2,signal_3,EMPLOYEE_RANGE,ALEXA_RANK,INDUSTRY,llm_sales_brief
1,8,0.941,YES,Long active usage tenure (SHAP: +5.339),High USERS users (60d) (SHAP: +2.157),Broad multi-module adoption (SHAP: +1.455),18.0,3317099.0,LEISURE TRAVEL TOURISM,"The company's long active usage tenure indicates a strong commitment to the platform, while a high number of users in the last 60 days suggests widespread acceptance among staff, and broad multi-module adoption reflects an integrated approach to utilizing the service, all contributing to a high likelihood of conversion."
2,3782,0.908,,Long active usage tenure (SHAP: +5.220),Uses multiple CRM modules (SHAP: +1.192),Accelerating ACTIONS trend (60d) (SHAP: +0.810),,2033028.0,UNKNOWN,"The company's long active usage tenure indicates a deep familiarity and reliance on the product, while their use of multiple CRM modules suggests a comprehensive integration into their operations, and the accelerating ACTIONS trend over the last 60 days demonstrates an increasing commitment to leveraging the system, all contributing to a high likelihood of conversion."
3,4565,0.874,,Long active usage tenure (SHAP: +6.069),Uses multiple CRM modules (SHAP: +2.375),Broad multi-module adoption (SHAP: +0.674),,16000001.0,UNKNOWN,"The company's long active usage tenure indicates a strong commitment to the CRM system, while the use of multiple CRM modules and broad multi-module adoption suggest they are integrating the platform deeply into their operations, making them highly likely to convert."
4,27,0.845,YES,Long active usage tenure (SHAP: +5.586),High USERS users (30d) (SHAP: +1.252),Uses multiple CRM modules (SHAP: +1.036),8.0,483736.0,UNKNOWN,"The company's long active usage tenure indicates a strong commitment to the platform, while a high number of users in the past 30 days and the use of multiple CRM modules suggest a deep integration of the solution into their operations, making them likely to convert."
5,35,0.834,YES,Long active usage tenure (SHAP: +5.519),High CONTACTS users (30d) (SHAP: +0.619),Recently active (SHAP: +0.451),8.0,16000001.0,UNKNOWN,"The company is likely to convert due to its long active usage tenure, which indicates a strong commitment to the platform, combined with a high number of CONTACTS users in the last 30 days, suggesting they are actively leveraging the service for communication and collaboration."
6,2813,0.689,,Long active usage tenure (SHAP: +6.851),Long time on free tier (SHAP: +0.803),Uses multiple CRM modules (SHAP: +0.785),38.0,16000001.0,TECH,"The company's long active usage tenure indicates a strong familiarity and comfort with the product, while their use of multiple CRM modules suggests a commitment to integrating the solution into their operations, both of which significantly enhance their likelihood to convert."
7,4803,0.68,,Long active usage tenure (SHAP: +3.548),Accelerating ACTIONS trend (60d) (SHAP: +1.615),High CONTACTS users (30d) (SHAP: +0.649),,8723086.0,UNKNOWN,"The company's long active usage tenure indicates a solid foundation of familiarity with the product, while the accelerating actions trend over the past 60 days suggests an increasing commitment to utilizing the service, and the high number of contact users in the last 30 days reflects a growing collaborative environment that is likely to drive conversion."
8,3608,0.677,,Long active usage tenure (SHAP: +6.573),High USERS users (60d) (SHAP: +1.527),Uses multiple CRM modules (SHAP: +0.660),8.0,6278610.0,UNKNOWN,"The company's long active usage tenure indicates a strong commitment to the platform, while having a high number of USERS in the last 60 days suggests they are actively deriving value from the system, and utilizing multiple CRM modules demonstrates their willingness to integrate and rely on the software for various business functions, all of which contribute to a high likelihood of conversion."
9,4436,0.668,,Long active usage tenure (SHAP: +6.557),High USERS users (60d) (SHAP: +1.531),High CONTACTS users (60d) (SHAP: +1.346),3.0,531482.0,IT_SERVICES,"The company's long active usage tenure indicates a strong commitment to the service, while the high number of USERS and CONTACTS users over the past 60 days suggest they are actively integrating the solution into their operations, making them likely to convert."
10,2691,0.66,,Long active usage tenure (SHAP: +6.539),Long time on free tier (SHAP: +0.835),High CONTACTS users (30d) (SHAP: +0.738),8.0,16000001.0,UNKNOWN,"The company's long active usage tenure indicates a strong familiarity and comfort with the product, while their high CONTACTS users in the last 30 days suggests they are increasingly relying on the platform, making them likely to convert from the free tier."
11,2911,0.66,,Long active usage tenure (SHAP: +5.309),High DEALS actions (30d) (SHAP: +0.706),High CONTACTS users (30d) (SHAP: +0.455),125.0,6122014.0,UNKNOWN,"The company's long active usage tenure indicates a strong commitment to the platform, while their high DEALS actions and high CONTACTS users in the past 30 days demonstrate an increasing reliance on the system for managing sales and relationships, making conversion highly likely."
12,5013,0.651,,Long active usage tenure (SHAP: +4.965),Uses multiple CRM modules (SHAP: +1.699),High USERS users (30d) (SHAP: +0.416),3.0,16000001.0,UNKNOWN,"The company's long active usage tenure indicates a strong commitment to the platform, while their use of multiple CRM modules suggests they are leveraging the system's full capabilities, and the high number of active users in the past 30 days reflects a growing reliance on the CRM, all contributing to a favorable likelihood of conversion."
13,4140,0.651,,Long active usage tenure (SHAP: +5.761),High USERS users (60d) (SHAP: +0.878),High DEALS actions (30d) (SHAP: +0.566),3.0,2926723.0,UNKNOWN,"The company's long active usage tenure indicates a strong commitment to the platform, while the high number of USERS in the last 60 days and the significant DEALS actions in the past 30 days suggest an increasing reliance on the service, making them likely to convert."
14,2311,0.65,,Long active usage tenure (SHAP: +5.155),High CONTACTS users (60d) (SHAP: +1.353),High USERS users (30d) (SHAP: +1.041),125.0,2611220.0,TECH,"The company's long active usage tenure indicates a solid foundation of familiarity with the product, while the high number of CONTACTS users in the last 60 days and a significant number of USERS in the last 30 days suggest an increasing reliance on the platform, making them likely to convert."
15,469,0.643,,Long active usage tenure (SHAP: +6.114),Uses multiple CRM modules (SHAP: +1.135),High USERS users (7d) (SHAP: +0.504),18.0,3308185.0,UNKNOWN,"The company's long active usage tenure indicates a strong familiarity and comfort with the product, while their use of multiple CRM modules suggests a deeper integration into their operations, and the high number of users in the past week demonstrates consistent engagement, all contributing to a solid likelihood of conversion."
16,548,0.638,,Long active usage tenure (SHAP: +6.193),Uses multiple CRM modules (SHAP: +1.217),Long time on free tier (SHAP: +0.736),38.0,16000001.0,OTHER SERVICES,"The company's long active usage tenure indicates a strong familiarity with the platform, while their use of multiple CRM modules suggests they are deriving significant value, both of which are compelling reasons for them to convert from the free tier."
